CountryCode,Latitude,Longitude,Name,State
US,33.647675,-85.561497,Heflin,AL
US,33.292346,-86.874465,Helena,AL
US,34.633048,-85.7374565,Henagar,AL
US,33.883697,-86.42460449,Highland Lake,AL
US,34.63903701,-87.17646002,Hillsboro,AL
US,33.61528,-85.85346851,Hobson City,AL
US,34.32791099,-87.92888348,Hodges,AL
US,33.96765869,-85.86084621,Hokes Bluff,AL
US,34.1774395,-86.60829699,Holly Pond,AL
US,34.729623,-85.9643795,Hollywood,AL
US,33.219859,-87.4738775,Holt,AL
US,33.458101,-86.803232,Homewood,AL
US,33.35150996,-86.77426439,Hoover,AL
US,31.238511,-86.3164195,Horn Hill,AL
US,33.39664701,-87.05548952,Hueytown,AL
US,32.8535425,-85.2435695,Huguley,AL
US,34.64043734,-86.46967084,Huntsville,AL
US,32.2431595,-85.414296,Hurtsboro,AL
US,34.9111935,-86.0808065,Hytop,AL
US,34.7002105,-85.6689155,Ider,AL
US,33.37087899,-86.73626699,Indian Springs Village,AL
US,33.563537,-86.64131651,Irondale,AL
US,31.542153,-87.887477,Jackson,AL
US,33.82690546,-85.78287239,Jacksonville,AL
US,33.8496465,-87.2504275,Jasper,AL
US,32.9555985,-86.739175,Jemison,AL
US,33.904238,-87.56018149,Kansas,AL
US,33.576891,-87.98344201,Kennedy,AL
US,34.8585095,-87.52360601,Killen,AL
US,33.771917,-86.7899135,Kimberly,AL
US,31.288456,-85.335573,Kinsey,AL
