Code,CountryCode,Latitude,Longitude,State
35119,US,33.648935,-86.768774,AL
35120,US,33.674448,-86.418522,AL
35121,US,33.942742,-86.448334,AL
35123,US,33.738435,-86.649137,AL
35124,US,33.31287,-86.764215,AL
35125,US,33.624166,-86.294072,AL
35126,US,33.732607,-86.651393,AL
35127,US,33.491366,-86.975408,AL
35128,US,33.548064,-86.348062,AL
35130,US,33.632204,-87.135783,AL
35131,US,33.730378,-86.19273,AL
35133,US,33.822875,-86.604385,AL
35135,US,33.620275,-86.201329,AL
35136,US,32.862922,-86.267747,AL
35137,US,33.204386,-86.779651,AL
35139,US,33.710348,-86.974186,AL
35142,US,33.405799,-86.880243,AL
35143,US,33.083251,-86.555034,AL
35144,US,33.244103,-86.818504,AL
35146,US,33.791598,-86.435202,AL
35147,US,33.414869,-86.543807,AL
35148,US,33.755551,-87.045099,AL
35149,US,33.254779,-86.208091,AL
35150,US,33.191711,-86.229884,AL
35151,US,33.075174,-86.359401,AL
35160,US,33.375812,-86.075715,AL
35161,US,33.435286,-86.102002,AL
35171,US,32.878685,-86.74507,AL
35172,US,33.845865,-86.696027,AL
35173,US,33.650396,-86.566767,AL
35175,US,34.435243,-86.517966,AL
35176,US,33.483317,-86.498101,AL
35178,US,33.423434,-86.404753,AL
35179,US,34.268818,-86.961699,AL
35180,US,33.821099,-86.836976,AL
35181,US,33.626951,-86.878854,AL
35182,US,33.672156,-86.280663,AL
35183,US,32.92834,-86.403944,AL
35184,US,33.114394,-87.138434,AL
35185,US,33.351799,-86.535275,AL
35186,US,33.256835,-86.518306,AL
35187,US,33.059891,-86.912297,AL
35188,US,33.181835,-87.171825,AL
35201,US,33.519156,-86.801571,AL
35202,US,33.556177,-86.822995,AL
35203,US,33.518977,-86.808966,AL
35204,US,33.522162,-86.839687,AL
35205,US,33.495216,-86.806917,AL
35206,US,33.570334,-86.716808,AL
35207,US,33.569561,-86.83062,AL
35208,US,33.498183,-86.878902,AL
35209,US,33.465216,-86.812772,AL
35210,US,33.546207,-86.6664,AL
35211,US,33.458922,-86.862452,AL
35212,US,33.546714,-86.751177,AL
35213,US,33.507592,-86.741217,AL
35214,US,33.571545,-86.895125,AL
35215,US,33.649359,-86.70393,AL
35216,US,33.421704,-86.786343,AL
35217,US,33.606475,-86.761474,AL
35218,US,33.507111,-86.893675,AL
35219,US,33.442854,-86.840435,AL
35220,US,33.647045,-86.68182,AL
35221,US,33.451334,-86.89789,AL
35222,US,33.524112,-86.770385,AL
35223,US,33.488918,-86.735737,AL
35224,US,33.523882,-86.944265,AL
35226,US,33.398461,-86.841444,AL
35228,US,33.455643,-86.919571,AL
35229,US,33.46453,-86.794673,AL
35231,US,33.564187,-86.895183,AL
35232,US,33.537619,-86.756216,AL
35233,US,33.508237,-86.803629,AL
35234,US,33.54091,-86.802955,AL
35235,US,33.620697,-86.650166,AL
35236,US,33.373308,-86.810406,AL
35237,US,0,0,AL
35238,US,33.414527,-86.675313,AL
35242,US,33.422993,-86.671536,AL
35243,US,33.442252,-86.74037,AL
35244,US,33.355736,-86.821394,AL
35246,US,33.519156,-86.801571,AL
35249,US,33.506434,-86.802371,AL
35253,US,33.484893,-86.773896,AL
35254,US,33.514146,-86.854303,AL
35255,US,33.49934,-86.798647,AL
35259,US,33.482757,-86.791687,AL
35260,US,33.413142,-86.847175,AL
35261,US,33.584843,-86.703584,AL
35266,US,33.444682,-86.7908,AL
35282,US,33.497429,-86.793206,AL
35283,US,33.519156,-86.801571,AL
35285,US,33.526967,-86.813981,AL
